date,b1_equalweight
2016-06-03,107.9922005850484
2016-06-06,108.72064013412488
2016-06-07,109.07768837932902
2016-06-08,109.44219899075611
2016-06-09,109.14800291808572
2016-06-10,107.68329376221686
2016-06-13,106.76988679320839
2016-06-14,106.40218511741436
2016-06-15,106.43868921684087
2016-06-16,106.55506119247771
2016-06-17,106.70544840362041
2016-06-20,107.5645218804723
2016-06-21,107.74825299792737
2016-06-22,107.5826657629012
2016-06-23,109.18735750892499
2016-06-24,104.70987011448682
2016-06-27,101.94067993067384
2016-06-28,104.0254512235143
2016-06-29,106.03900368446111
2016-06-30,107.66173735242721
2016-07-01,108.02032001404014
2016-07-05,106.67873779546497
2016-07-06,107.32407357244176
2016-07-07,107.3779644173245
2016-07-08,109.39402832738028
2016-07-11,109.84013677049361
2016-07-12,111.16832681298057
2016-07-13,111.11521956898633
2016-07-14,111.63030543402995
2016-07-15,111.52438253410372
2016-07-18,111.77508956154635
2016-07-19,111.43842109659747
2016-07-20,112.00142216068731
2016-07-21,111.62862231604245
2016-07-22,112.30466610719446
2016-07-25,112.07247774688494
2016-07-26,112.57786419536075
2016-07-27,111.95273743170152
2016-07-28,112.20615771002475
2016-07-29,112.35031245915346
2016-08-01,111.83754324134149
2016-08-02,110.78216809355318
2016-08-03,111.49581477177173
2016-08-04,111.44401374377657
2016-08-05,112.49335209042627
2016-08-08,112.48740113735244
2016-08-09,112.34562391802429
2016-08-10,112.03712030270277
2016-08-11,112.84882536045885
2016-08-12,112.74863407553076
2016-08-15,113.31780607417254
2016-08-16,112.62045613245425
2016-08-17,112.76881011621099
2016-08-18,113.35070006939334
2016-08-19,113.36377960803205
2016-08-22,113.27002855546613
2016-08-23,113.71756806529939
2016-08-24,112.95126173265272
2016-08-25,112.87035447395441
2016-08-26,112.5625941043327
2016-08-29,113.2197214057273
2016-08-30,113.00547444862576
2016-08-31,112.59047881802208
2016-09-01,112.47922194418321
2016-09-02,113.08141250613872
2016-09-06,113.27529168075692
2016-09-07,113.54391260740496
2016-09-08,113.37992490191365
2016-09-09,110.2645914810257
2016-09-12,111.97412556914476
2016-09-13,110.07609346842234
2016-09-14,109.8475710610628
2016-09-15,110.9655477932358
2016-09-16,110.49722457950361
2016-09-19,110.72449242278918
2016-09-20,110.48326587627955
2016-09-21,111.95486438970282
2016-09-22,112.83396194505055
2016-09-23,112.22779051630232
2016-09-26,111.39288453928376
2016-09-27,111.92590802220523
2016-09-28,112.77609956806059
2016-09-29,111.77866918651084
2016-09-30,112.71945501828058
2016-10-03,112.30019710470813
2016-10-04,111.583346479616
2016-10-05,112.22974516058632
2016-10-06,112.28265338573644
2016-10-07,111.67229454525874
2016-10-10,112.18823916795922
2016-10-11,110.52658271027332
2016-10-12,110.69258481386849
2016-10-13,110.2992811523418
2016-10-14,110.21999578527418
2016-10-17,109.82467685077555
2016-10-18,110.60835139235023
2016-10-19,111.13479849969684
2016-10-20,111.00382108273939
2016-10-21,110.89143910472517
2016-10-24,111.24569188243625
2016-10-25,110.51329010578446
2016-10-26,110.46202381262162
2016-10-27,109.81756607430812
2016-10-28,109.81304588929048
2016-10-31,109.99610144566844
2016-11-01,109.08153362862559
2016-11-02,108.24995240099125
2016-11-03,107.91898133941473
2016-11-04,107.93089980357139
2016-11-07,110.29995689737453
2016-11-08,110.67084909015334
2016-11-09,112.0482757966745
2016-11-10,112.78990499906136
2016-11-11,112.75456680421897
2016-11-14,113.6571157781867
2016-11-15,114.53031530392569
2016-11-16,114.09953309025616
2016-11-17,114.6750508313147
2016-11-18,114.34923951353544
2016-11-21,115.2778152803351
2016-11-22,115.61079516577705
2016-11-23,115.91722117324278
2016-11-25,116.31836016450508
2016-11-28,115.62688063755022
2016-11-29,115.66094859446558
2016-11-30,115.62032589966583
2016-12-01,115.16809914890237
2016-12-02,115.27017997967211
2016-12-05,116.17763749225583
2016-12-06,116.69236541100744
2016-12-07,118.37035389626575
2016-12-08,118.90559941123915
2016-12-09,119.21554067042703
2016-12-12,118.67234923735901
2016-12-13,119.20096119267284
2016-12-14,117.90424130601404
2016-12-15,118.26285563412748
2016-12-16,118.02222180901728
2016-12-19,118.19270378072528
2016-12-20,118.61126090249465
2016-12-21,118.3518904025015
2016-12-22,117.86705177918174
2016-12-23,118.1119031762452
2016-12-27,118.4901468798657
2016-12-28,117.28310755327624
2016-12-29,117.33884975276756
2016-12-30,116.89556713529984
2017-01-03,117.89645141359982
2017-01-04,119.12002538874641
2017-01-05,118.75400588524089
2017-01-06,119.07819581736173
2017-01-09,118.3823108011082
2017-01-10,118.55190163981901
2017-01-11,118.91416379172755
2017-01-12,118.69489462842797
2017-01-13,118.92069690768972
2017-01-17,118.66029127826452
2017-01-18,118.98984519953899
2017-01-19,118.39615729301791
2017-01-20,118.84635291544507
2017-01-23,118.49294922863002
2017-01-24,119.65310611807693
2017-01-25,120.54745717938131
2017-01-26,120.22089402947182
2017-01-27,119.89359037556918
2017-01-30,119.20457420595672
2017-01-31,119.3013529492118
2017-02-01,119.0152448897549
2017-02-02,119.24975399308046
2017-02-03,120.13699095752264
2017-02-06,119.7765446000129
2017-02-07,119.59954130656085
2017-02-08,119.87909850059977
2017-02-09,120.73757300532536
2017-02-10,121.37131718428441
2017-02-13,121.86725353302499
2017-02-14,122.27321299916046
2017-02-15,122.85943548922819
