,eq,ov
2022-06-30,-0.007763579108792548,0.021868286293839828
2022-07-29,0.005946498257688616,-0.005061696139236821
2022-08-31,0.0231131523266529,-0.0606135744995453
2022-09-30,0.01800275942455623,-0.0005
2022-10-31,-0.0170505585421358,0.023014684024720136
2022-11-30,-0.002607383783675059,-0.0208138390068733
2022-12-30,-0.08917646837839918,0.021576262794766148
2023-01-31,0.03352490290524404,-0.03911403713768738
2023-02-28,0.008275577232193304,0.026498395121819812
2023-03-31,0.009552220977505426,0.005398701851850793
2023-04-28,-0.005248530916028666,-0.004065952892614467
2023-05-31,-0.011378408141418977,0.06490065990227811
2023-06-30,-0.019444336028484298,0.027134075661048567
2023-07-31,0.021612326447588277,-0.017813763895838514
2023-08-31,0.011934953729452843,-0.04825564982880343
2023-09-29,0.008745196139532526,-0.017932313616108808
2023-10-31,0.0006919838331409139,0.06651027047299225
2023-11-30,-0.0513590090291343,0.04092114819122964
2023-12-29,0.0683608113433912,0.012247078393555783
2024-01-31,0.03456274209180892,0.041146245414695096
2024-02-29,-0.016535424052718663,0.022261541908140087
2024-03-28,-0.00025191651720331596,-0.0382395951652714
2024-04-30,-0.012620540308459998,0.036597286937524814
2024-05-31,0.03439242528508897,0.0116861747230278
2024-06-28,-0.031048315470368435,0.026576271706627116
2024-07-31,0.03399219725748199,0.017074237456193346
2024-08-30,0.019761874862453777,0.03496080985815385
2024-09-30,0.02559098370858497,-0.00663996554676086
2024-10-31,0.013345366683683964,0.058322762645662475
2024-11-29,0.005852776266321516,-0.051782004756933404
2024-12-31,0.010270873495608221,0.028219010113353985
2025-01-31,-0.017720096236710368,-0.012653198711595582
2025-02-28,-0.014865265070453153,-0.022065190436590006
2025-03-31,0.017197770436578295,-0.015478093631264362
2025-04-30,0.04951518560224043,0.0208156256073982
2025-05-30,-0.05194742873005092,0.037797149539218165
2025-06-30,0.005428845217086776,-0.0003982236871221676
2025-07-31,-0.01787425830488853,0.03457990638039673
2025-08-29,0.004975020270210129,0.03042506293595645
2025-09-30,0.005994996082852094,0.00396689786651045
2025-10-31,0.0017241517712297755,0.0006087258076588582
2025-11-28,-0.017157034293301572,0.013700479383256008
2025-12-31,-0.009458350049916327,0.029236940643260715
2026-01-30,-0.006823477528312165,0.021798655172492253
2026-02-27,-0.004959943288059399,-0.04432661228862897
2026-03-31,0.027184097667342512,0.029783176296582215
2026-04-30,-0.023043789150607313,0.019230467774442272
2026-05-29,0.006812040473393928,-0.015811675197966397
