date,nav,applied_ret,net_raw,lev,base_lev,kill,dd3,tvol,mkt_beta,gap_est,secmax
2019-07-31,121.31,0.04362220817781647,0.057093675246247165,0.76,1.27,model_decay,0.0249,0.098,-0.19,0.0077,0.2
2019-08-30,115.44,-0.04842549465169279,-0.06599467677360897,0.73,1.22,model_decay,0.0426,0.102,-0.23,0.0074,0.19
2019-09-30,114.59,-0.0073043756430463316,-0.010777582506195555,0.68,1.13,model_decay,0.0122,0.111,-0.22,0.0069,0.19
2019-10-31,113.85,-0.006441841708514934,-0.009497781545463966,0.68,1.13,model_decay,-0.0142,0.111,-0.24,0.0069,0.19
2019-11-29,112.28,-0.013780137977778386,-0.017965834305456056,0.77,1.28,model_decay,-0.0615,0.098,-0.24,0.0078,0.19
2019-12-31,115.09,0.024998729794639137,0.03209433350945805,0.78,1.3,model_decay,-0.0273,0.096,-0.25,0.0079,0.19
2020-01-31,116.61,0.013180527653114425,0.009566064502767122,1.38,1.38,,0.0044,0.091,-0.29,0.0139,0.19
2020-02-28,126.41,0.08405076624972571,0.06151101026199685,1.37,1.37,,0.0242,0.091,-0.26,0.0138,0.2
2020-03-31,123.35,-0.024241809771734707,-0.024015114328827126,1.01,1.01,,0.1258,0.124,-0.31,0.0102,0.23
2020-04-30,123.95,0.004867435486477521,0.004766039046964754,1.02,1.02,,0.0717,0.122,-0.29,0.0103,0.23
2020-05-29,124.92,0.007895977798316583,0.0076272761816653335,1.04,1.04,,0.0629,0.121,-0.29,0.0105,0.22
2020-06-30,128.59,0.029376160743376258,0.02760151546502106,1.06,1.06,,-0.0118,0.117,-0.29,0.0108,0.22
2020-07-31,122.43,-0.04789693337400447,-0.04556843296364657,1.05,1.05,,0.0426,0.119,-0.26,0.0106,0.22
2020-08-31,125.88,0.028148085173688768,0.028127191108560202,1.0,1.0,,-0.0122,0.125,-0.3,0.0101,0.2
2020-09-30,118.63,-0.05761237028369226,-0.05284936050642456,1.09,1.09,,0.0077,0.115,-0.31,0.011,0.19
2020-10-30,107.45,-0.09420572240753755,-0.09921313640552498,0.95,0.95,,-0.0775,0.132,-0.31,0.0096,0.19
