Date,DIA,IWM,QQQ,SPY,TQQQ,UPRO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-02-28,430.39300537109375,211.88601684570312,504.96905517578125,585.6839599609375,37.090484619140625,88.77788543701172,43.32075881958008,100.45338439941406,43.74351501464844,51.20051956176758,134.1051788330078,111.9277114868164,80.4183349609375,41.434959411621094,38.24260330200195,145.7565460205078,106.83916473388672
2025-03-03,424.22735595703125,206.0915985107422,493.9190673828125,575.4227905273438,34.69435501098633,84.2327651977539,42.452003479003906,99.44884490966797,42.21489715576172,50.76878356933594,132.19683837890625,108.52317810058594,80.84423065185547,41.790252685546875,38.29570770263672,146.3927001953125,104.87017822265625
2025-03-04,417.82598876953125,203.7620086669922,492.42852783203125,568.611572265625,34.31315231323242,81.120361328125,41.8760871887207,98.66096496582031,41.80630111694336,48.982940673828125,129.6195831298828,108.43881225585938,79.46973419189453,41.31011962890625,37.672977447509766,145.03233337402344,103.01994323730469
2025-03-05,422.63677978515625,205.78561401367188,498.8478088378906,574.722900390625,35.64984130859375,83.6596908569336,42.96935272216797,99.93141174316406,41.19580841064453,49.26750183105469,131.66563415527344,109.96240997314453,79.79883575439453,41.69422149658203,37.407466888427734,146.4905548095703,104.58820343017578
2025-03-06,418.1499938964844,202.63670349121094,485.1248474121094,564.5209350585938,32.69428634643555,79.25291442871094,42.74484634399414,98.1390151977539,41.320796966552734,48.45308303833008,130.534423828125,106.91024780273438,79.94403076171875,40.55152130126953,36.63025665283203,146.08932495117188,101.93650817871094
2025-03-07,420.4670715332031,203.2980499267578,488.69219970703125,567.6849975585938,33.372528076171875,80.41883087158203,42.861976623535156,98.7693099975586,42.02742385864258,48.197959899902344,132.0591278076172,108.45865631103516,80.20538330078125,40.781982421875,37.31092071533203,146.09910583496094,101.7485122680664
2025-03-10,411.85662841796875,198.18475341796875,469.7522888183594,552.564453125,29.610010147094727,74.06555938720703,41.968814849853516,96.30721282958984,42.339874267578125,47.11861038208008,129.99337768554688,103.84815216064453,80.03114318847656,40.38827896118164,37.72124481201172,144.52340698242188,98.1172866821289
2025-03-11,407.1929626464844,198.16500854492188,468.62939453125,547.970947265625,29.26346206665039,72.20799255371094,41.646697998046875,94.88905334472656,42.003387451171875,46.71630859375,127.99650573730469,103.42630004882812,78.85990905761719,39.96576690673828,37.36885070800781,142.94769287109375,97.15753936767578
2025-03-12,406.41741943359375,198.51051330566406,473.9159240722656,550.8787841796875,30.263498306274414,73.26522064208984,41.45146942138672,95.36177062988281,42.1956672668457,46.784996032714844,127.98667907714844,105.05413055419922,77.14662170410156,39.82173156738281,37.252986907958984,141.51881408691406,97.72150421142578
2025-03-13,401.3414611816406,195.5491485595703,465.389892578125,543.535400390625,28.60997200012207,70.34054565429688,41.42218780517578,93.40193939208984,41.907249450683594,46.52987289428711,126.6783676147461,103.05905151367188,76.78846740722656,39.04392623901367,37.34471130371094,140.76522827148438,95.28256225585938
2025-03-14,407.8017578125,200.27745056152344,476.6386413574219,554.7625122070312,30.63974952697754,74.57936096191406,41.96393585205078,95.11556243896484,43.1474494934082,47.60922622680664,128.99005126953125,106.17574310302734,76.96271514892578,39.80252456665039,38.073646545410156,141.84176635742188,97.3108901977539
2025-03-17,411.5816650390625,202.8044891357422,479.7290344238281,559.0404052734375,31.23383331298828,76.25906372070312,42.49104309082031,95.79509735107422,43.83484649658203,48.168521881103516,130.7705078125,106.91520690917969,78.0855484008789,40.503509521484375,38.23295211791992,143.64259338378906,97.4642562866211
