date,nav,port_ret
2026-01-06,111464125.84597157,0.01309872369643612
2026-01-07,110135275.6847875,-0.011921774392420662
2026-01-08,110896622.26542148,0.00691283129678623
2026-01-09,112394623.29682106,0.013508085285179003
2026-01-12,112721568.1287052,0.002908900998054896
2026-01-13,112684980.32984132,-0.00032458560922528313
2026-01-14,112635146.60384764,-0.0004422392926529483
2026-01-15,113295850.59649934,0.00586587768181692
2026-01-16,113091327.26203854,-0.0018052146957191347
2026-01-20,109752198.78464207,-0.029525946491542658
2026-01-21,112351386.15079637,0.023682326139583532
2026-01-22,113154693.47941948,0.007149954763752878
2026-01-23,113061693.89634098,-0.0008218800318294627
2026-01-26,113682418.64720652,0.0054901419700525665
2026-01-27,114207985.48315285,0.0046231144815571485
2026-01-28,113912955.02185614,-0.0025832734904533837
2026-01-29,114157137.69368765,0.00214359000505834
2026-01-30,113435756.55496727,-0.00631919434294167
2026-02-02,114227736.26681258,0.0069817466370186276
2026-02-03,113710167.44065991,-0.004531025852983076
2026-02-04,113537136.69261459,-0.0015216822905094896
2026-02-05,111035389.72788319,-0.022034613850660332
2026-02-06,114973708.0398054,0.035469036687977885
2026-02-09,115843086.62279466,0.007561542528386408
2026-02-10,115993343.37372634,0.0012970713687985214
2026-02-11,116566275.4194199,0.004939352802751896
2026-02-12,113852136.45018615,-0.023284084178446584
2026-02-13,115105534.43041527,0.011008998331599325
2026-02-17,114781865.11205372,-0.002811935324944987
2026-02-18,115449704.63804208,0.005818336592948441
2026-02-19,115170925.67128737,-0.002414722217165724
2026-02-20,116292064.01619162,0.009734560509690687
2026-02-23,114817406.40155949,-0.01268063841765508
2026-02-24,116426761.8117986,0.014016650094068526
2026-02-25,117264008.55250016,0.007191188071132137
2026-02-26,116650047.81835511,-0.0052357133422585335
2026-02-27,116865807.03639998,0.0018496282005889032
2026-03-02,116869919.02353883,3.5185545226070634e-05
2026-03-03,114528655.62934585,-0.020033071073844326
2026-03-04,115754519.22385162,0.010703553514790973
2026-03-05,113856546.36894429,-0.01639653352312703
2026-03-06,111383559.01920506,-0.021720203436749994
2026-03-09,112824469.44310209,0.01293647317957035
2026-03-10,112231265.76291859,-0.00525775732083228
2026-03-11,111911888.65137005,-0.0028457053333356855
2026-03-12,109422404.37807178,-0.022245038514661832
2026-03-13,108848714.32291348,-0.005242893888312879
2026-03-16,110464243.28224376,0.014841966387748219
2026-03-17,110928307.3379804,0.0042010341260468684
2026-03-18,108022660.52614368,-0.026193916427334263
2026-03-19,107580635.72345549,-0.004091963672577968
2026-03-20,104152228.29404594,-0.031868257761764364
2026-03-23,105848264.74229561,0.016284207030706686
2026-03-24,106693743.1162243,0.007987645106768262
2026-03-25,107900860.93879814,0.011313857657603104
2026-03-26,106930151.07142773,-0.008996312531009312
2026-03-27,106459727.58392848,-0.00439935306165443
2026-03-30,105712526.42355153,-0.007018627393986815
2026-03-31,106977568.91424808,0.011966817306285737
2026-04-01,107011939.40756248,0.0003212869170914675
2026-04-02,107208823.13151738,0.0018398295091638858
2026-04-06,107606952.9043963,0.0037135914866868736
2026-04-07,107423608.64441977,-0.0017038328381941044
2026-04-08,110329477.3678247,0.02705055955645256
2026-04-09,111183539.17689896,0.007741012007397705
2026-04-10,110682447.51332577,-0.0045068871460903935
2026-04-13,111980685.70721738,0.011729395428623026
2026-04-14,113599069.46144156,0.014452347241876877
2026-04-15,114167449.74792664,0.0050033885768579
2026-04-16,115055921.43455002,0.007782180372646131
2026-04-17,117271327.9440187,0.019255041216882915
2026-04-20,117086263.58839826,-0.001578086978846149
2026-04-21,115521503.5685371,-0.013364163924146312
2026-04-22,116935109.12058575,0.012236730897550818
2026-04-23,117167792.91408153,0.0019898539903514117
2026-04-24,118009566.59327367,0.007184343566234102
2026-04-27,117754581.74680005,-0.0021607133543032845
2026-04-28,117005465.72676851,-0.006361671952963353
2026-04-29,116915124.0633714,-0.0007721148993847282
2026-04-30,119879410.39391035,0.025354173416710483
2026-05-01,120041502.16660547,0.0013521235395011974
2026-05-04,119002355.33114111,-0.00865656307784393
2026-05-05,120825681.38112217,0.015321764387834043
2026-05-06,123265634.66683058,0.020193995662329673
2026-05-07,121671636.00765838,-0.012931411609412188
2026-05-08,123199059.37276965,0.012553651904665175
2026-05-11,124157185.39204437,0.007777056287220961
2026-05-12,123577576.37652631,-0.004668348542920544
2026-05-13,124134300.03315993,0.004505054015117951
2026-05-14,125167549.61324714,0.0083236428594772
2026-05-15,122132541.70322096,-0.024247561923229913
2026-05-18,122515537.7398018,0.003135904904947516
2026-05-19,121412879.23030266,-0.009000152387535924
2026-05-20,123363171.26318455,0.01606330436479039
2026-05-21,123931480.7768338,0.004606800456165489
2026-05-22,125069583.58922897,0.009183322956050137
2026-05-26,126307863.50560102,0.009900727905507155
2026-05-27,126517067.63633896,0.00165630329681472
2026-05-28,127325534.25162227,0.006390178261222121
2026-05-29,126790870.9525302,-0.00419918362985591
2026-06-01,126282363.06628715,-0.004010603306238388
2026-06-02,126950615.45790496,0.005291731761996271
2026-06-03,126160703.5146447,-0.006222198611728598
2026-06-04,127008735.09453294,0.006721836168183874
2026-06-05,121710224.4980869,-0.04171768652370526
2026-06-08,122014834.77334729,0.002502750089538852
2026-06-09,122181758.07702178,0.001368057449609003
