Date,QQQ,SPY
2025-05-22,511.5239562988281,576.4815063476562
2025-05-23,506.78692626953125,572.5465698242188
2025-05-27,518.7091674804688,584.4501953125
2025-05-28,516.4102783203125,581.0689086914062
2025-05-29,517.4254150390625,583.362548828125
2025-05-30,516.609375,582.7101440429688
2025-06-02,520.689697265625,585.9924926757812
2025-06-03,524.7598876953125,589.3341064453125
2025-06-04,526.2228393554688,589.1759033203125
2025-06-05,522.261962890625,586.3285522460938
2025-06-06,527.3672485351562,592.3495483398438
2025-06-09,528.1435546875,592.8834228515625
2025-06-10,531.63671875,596.244873046875
2025-06-11,529.8453369140625,594.54443359375
2025-06-12,531.0892944335938,596.9072875976562
2025-06-13,524.4215698242188,590.23388671875
2025-06-16,531.7161865234375,595.8494262695312
2025-06-17,526.5314331054688,590.7578125
2025-06-18,526.4417724609375,590.6688232421875
2025-06-20,524.292236328125,589.2816772460938
2025-06-23,529.6832275390625,595.1022338867188
2025-06-24,537.783203125,601.6764526367188
2025-06-25,539.157958984375,602.0136108398438
2025-06-26,544.1992797851562,606.7236328125
2025-06-27,546.0623779296875,609.738037109375
2025-06-30,549.5992431640625,612.6533203125
2025-07-01,544.9664306640625,612.455078125
2025-07-02,548.7623291015625,615.2315673828125
2025-07-03,554.1622924804688,620.0804443359375
2025-07-07,549.9878540039062,615.45947265625
2025-07-08,550.2966918945312,615.1224365234375
2025-07-09,554.1921997070312,618.8110961914062
2025-07-10,553.3952026367188,620.5562744140625
2025-07-11,552.1497802734375,618.3748779296875
2025-07-14,554.1524047851562,619.5548095703125
2025-07-15,554.660400390625,616.9072875976562
2025-07-16,555.2283325195312,618.9697265625
2025-07-17,559.7216186523438,622.7576293945312
2025-07-18,559.1836547851562,622.301513671875
2025-07-21,562.0828857421875,623.4815063476562
2025-07-22,559.1737060546875,623.5707397460938
2025-07-23,561.7242431640625,628.875732421875
2025-07-24,562.9197387695312,629.083984375
2025-07-25,564.2747192382812,631.741455078125
2025-07-28,566.0382690429688,631.5828247070312
2025-07-29,565.1614990234375,629.9169311523438
2025-07-30,565.9186401367188,629.1236572265625
2025-07-31,562.9197387695312,626.763671875
2025-08-01,551.8309936523438,616.49072265625
2025-08-04,562.0131225585938,625.861328125
2025-08-05,558.1973266601562,622.688232421875
2025-08-06,565.2212524414062,627.457763671875
2025-08-07,567.1340942382812,626.9322509765625
2025-08-08,572.4244995117188,631.8207397460938
2025-08-11,570.730712890625,630.5713500976562
2025-08-12,577.9041137695312,637.284423828125
2025-08-13,578.193115234375,639.4659423828125
2025-08-14,577.7447509765625,639.525390625
2025-08-15,575.2042236328125,638.028076171875
2025-08-18,574.9750366210938,637.8893432617188
2025-08-19,567.1740112304688,634.4286499023438
2025-08-20,563.8065185546875,632.742919921875
2025-08-21,561.1962280273438,630.2045288085938
2025-08-22,569.85400390625,639.8824462890625
2025-08-25,568.210205078125,637.0662841796875
2025-08-26,570.4915771484375,639.733642578125
2025-08-27,571.368408203125,641.1912841796875
2025-08-28,574.9451293945312,643.4619750976562
2025-08-29,568.2898559570312,639.6245727539062
2025-09-02,563.527587890625,634.8848266601562
2025-09-03,567.9610595703125,638.3255615234375
2025-09-04,573.1019287109375,643.6603393554688
2025-09-05,573.9288940429688,641.796142578125
2025-09-08,576.728515625,643.372802734375
2025-09-09,578.3624267578125,644.8601684570312
2025-09-10,578.5517578125,646.7243041992188
2025-09-11,581.9192504882812,652.0988159179688
2025-09-12,584.4896850585938,651.8805541992188
2025-09-15,589.4910888671875,655.3511352539062
2025-09-16,588.992919921875,654.4488525390625
2025-09-17,587.8173217773438,653.6357421875
2025-09-18,593.11767578125,656.6897583007812
2025-09-19,597.1326904296875,659.9423217773438
2025-09-22,600.667724609375,663.0645141601562
2025-09-23,596.6779174804688,659.4551391601562
2025-09-24,594.583251953125,657.3569946289062
2025-09-25,592.0198364257812,654.3242797851562
2025-09-26,594.4535522460938,658.072998046875
2025-09-29,597.20654296875,659.9224243164062
2025-09-30,598.8424072265625,662.4082641601562
2025-10-01,601.7150268554688,664.6654663085938
2025-10-02,604.188720703125,665.4309692382812
2025-10-03,601.645263671875,665.421142578125
2025-10-06,606.1636962890625,667.8074951171875
2025-10-07,602.9718627929688,665.3316040039062
2025-10-08,609.8842163085938,669.2990112304688
2025-10-09,609.1461181640625,667.3600463867188
2025-10-10,588.0000610351562,649.32275390625
2025-10-13,600.4782104492188,659.2860107421875
2025-10-14,596.4784545898438,658.4805908203125
2025-10-15,600.6876831054688,661.4039916992188
2025-10-16,598.46337890625,656.899658203125
2025-10-17,602.393310546875,660.62841796875
2025-10-20,609.9839477539062,667.499267578125
2025-10-21,609.8244018554688,667.4892578125
2025-10-22,603.9493408203125,664.0191040039062
2025-10-23,609.0264282226562,667.9566650390625
2025-10-24,615.52978515625,673.4155883789062
2025-10-27,626.4918823242188,681.3603515625
2025-10-28,631.3095703125,683.1700439453125
2025-10-29,634.15234375,683.4981689453125
2025-10-30,624.45703125,675.98095703125
2025-10-31,627.4694213867188,678.1983642578125
2025-11-03,630.4716796875,679.4711303710938
2025-11-04,617.67431640625,671.4169921875
2025-11-05,621.6941528320312,673.7437133789062
2025-11-06,610.1136474609375,666.514892578125
2025-11-07,608.1885375976562,667.1710815429688
2025-11-10,621.6442260742188,677.5819091796875
2025-11-11,619.9884643554688,679.1329956054688
2025-11-12,619.4996948242188,679.5108642578125
2025-11-13,606.8519897460938,668.2350463867188
2025-11-14,607.310791015625,668.125732421875
2025-11-17,602.1240234375,661.901123046875
2025-11-18,594.7926635742188,656.3428344726562
2025-11-19,598.3436279296875,658.87841796875
2025-11-20,584.1797485351562,648.8355712890625
2025-11-21,588.568603515625,655.2987670898438
2025-11-24,603.6201782226562,664.9437866210938
2025-11-25,607.3407592773438,671.1981811523438
2025-11-26,612.70703125,675.8318481445312
2025-11-28,617.67431640625,679.5208129882812
2025-12-01,615.599609375,676.4185180664062
2025-12-02,620.4172973632812,677.67138671875
2025-12-03,621.9334716796875,680.0180053710938
2025-12-04,621.35498046875,680.51513671875
2025-12-05,623.8884887695312,681.8078002929688
2025-12-08,622.6915283203125,679.7594604492188
2025-12-09,623.4595336914062,679.1727294921875
2025-12-10,626.0130615234375,683.6771850585938
2025-12-11,623.98828125,685.26806640625
2025-12-12,612.0586547851562,677.9000244140625
2025-12-15,608.9865112304688,676.8758544921875
2025-12-16,610.1934204101562,675.0264282226562
2025-12-17,598.8822631835938,667.5986938476562
2025-12-18,607.5601196289062,672.6399536132812
