date,nav
2026-03-31,104665451.34324144
2026-04-01,105882729.26157576
2026-04-02,106053705.15317686
2026-04-06,106770983.07795316
2026-04-07,106796007.77888773
2026-04-08,110195768.68442003
2026-04-09,110976341.87381719
2026-04-10,111050631.91249488
2026-04-13,112338192.30713004
2026-04-14,114132094.73796348
2026-04-15,115461492.4981666
2026-04-16,115999780.38749932
2026-04-17,117372689.44594897
2026-04-20,117145069.59870325
2026-04-21,116511693.65018596
2026-04-22,118389060.5948532
2026-04-23,117752706.31864157
2026-04-24,119606766.02932175
2026-04-27,119832923.51992673
2026-04-28,118741524.15821987
2026-04-29,119414518.86781816
2026-04-30,120549533.11367063
2026-05-01,121472156.77587795
2026-05-04,121133800.85165802
2026-05-05,122768648.23848137
2026-05-06,125298315.1070897
2026-05-07,125009268.41557384
2026-05-08,127610693.95311253
2026-05-11,128226668.88632812
2026-05-12,127398677.03855294
2026-05-13,128761762.99756728
2026-05-14,130056827.32012098
2026-05-15,127791306.1377939
2026-05-18,127421836.06846213
2026-05-19,126375537.28507109
2026-05-20,128397938.00096428
2026-05-21,128705530.52341689
2026-05-22,129352791.15922871
2026-05-26,131403380.92053254
2026-05-27,131181403.97248696
2026-05-28,132355783.514031
2026-05-29,132840105.90895803
2026-06-01,133754048.27541986
2026-06-02,134328120.8071754
2026-06-03,133498511.58236213
2026-06-04,133314300.89881957
2026-06-05,126627446.63429457
2026-06-08,128190223.84163576
2026-06-09,126943074.7814866
2026-06-10,124052268.16912746
2026-06-11,126804454.67079459
